"user_id","transaction_date","transaction_amount"
856898,2015-08-02 03:56:08,49
703491,2015-07-04 17:05:25,72
444167,2015-02-10 03:26:03,65
972525,2015-04-21 20:59:57,40
687406,2015-07-08 00:15:33,42
55528,2015-07-23 14:41:36,40
145626,2015-04-28 04:30:54,33
817139,2015-05-21 09:21:01,72
113831,2015-07-04 04:33:41,30
35815,2015-06-01 15:08:28,75
377269,2015-08-02 18:00:39,21
418126,2015-08-06 15:53:45,45
645274,2015-08-10 14:11:51,60
636001,2015-06-22 15:54:06,50
723735,2015-03-05 03:04:34,41
105955,2015-06-04 06:17:17,45
114567,2015-01-12 06:02:57,53
80576,2015-05-23 08:26:16,32
147696,2015-05-01 18:55:42,63
921196,2015-07-25 16:00:51,52
295956,2015-06-02 06:27:40,46
111861,2015-08-12 16:35:29,45
672411,2015-06-22 04:11:16,75
296829,2015-08-03 09:56:50,56
296288,2015-04-13 00:08:08,37
962396,2015-03-25 16:24:00,46
146924,2015-09-02 13:32:41,41
760928,2015-08-25 23:21:09,51
126629,2015-01-13 01:15:11,48
46218,2015-05-25 03:53:52,42
663526,2015-05-26 09:29:54,52
939814,2015-04-17 00:09:46,42
756794,2015-07-03 12:13:26,53
435859,2015-02-09 13:13:14,55
790738,2015-03-10 12:55:38,87
819468,2015-09-18 00:41:54,62
905974,2015-08-20 03:48:10,41
483456,2015-06-03 10:19:27,51
331045,2015-08-23 11:39:10,58
267732,2015-01-25 06:43:34,45
669352,2015-06-11 15:05:01,50
149059,2015-08-22 12:20:24,52
174492,2015-08-05 03:01:34,56
55445,2015-06-05 08:09:27,32
253069,2015-07-30 13:49:59,29
463832,2015-05-14 07:22:34,69
560712,2015-07-06 19:22:52,37
229835,2015-08-18 11:49:43,51
504061,2015-07-18 11:51:31,40
185837,2015-07-07 21:24:04,31
182196,2015-01-18 04:30:24,41
300893,2015-07-30 06:34:13,49
826388,2015-08-15 21:18:52,57
191121,2015-06-27 23:56:14,30
818408,2015-08-10 11:43:36,43
178163,2015-07-20 07:39:30,16
124314,2015-08-10 08:37:49,45
328601,2015-06-15 18:14:31,40
390839,2015-07-09 13:38:27,58
160818,2015-08-27 12:54:33,53
27931,2015-09-10 15:00:40,49
412742,2015-02-08 03:29:26,61
809659,2015-03-11 21:34:35,62
124314,2015-08-09 11:20:38,38
538262,2015-07-05 22:51:37,43
27931,2015-08-19 04:06:47,46
410008,2015-06-01 01:50:05,56
558206,2015-02-19 06:26:50,74
159896,2015-07-06 05:21:44,53
71451,2015-01-08 18:06:42,45
962348,2015-03-25 14:54:42,46
438002,2015-02-09 18:23:50,61
422420,2015-09-23 15:23:42,53
734183,2015-03-05 19:43:19,35
722058,2015-07-13 13:03:22,56
17357,2015-06-08 01:38:27,60
81571,2015-05-12 08:18:59,43
210513,2015-01-20 15:05:28,56
748718,2015-03-07 00:44:04,35
720601,2015-03-04 22:27:15,43
13616,2015-05-24 02:53:21,46
579517,2015-04-18 23:41:21,32
445251,2015-09-13 04:43:52,50
760115,2015-08-22 20:30:16,43
47051,2015-05-25 19:08:07,36
35893,2015-04-27 13:13:11,28
430720,2015-02-09 06:08:48,29
955511,2015-08-09 11:12:28,41
969010,2015-03-26 00:01:09,20
604628,2015-08-03 16:27:52,32
385665,2015-05-31 13:30:31,60
30898,2015-01-04 09:33:42,45
737071,2015-09-04 10:30:55,60
64404,2015-06-19 07:02:20,45
657400,2015-06-30 18:04:05,47
540964,2015-06-28 08:59:12,45
934260,2015-07-04 17:19:01,66
484404,2015-06-01 02:49:28,29
78055,2015-07-15 08:41:03,46
121001,2015-07-02 09:47:11,60
357468,2015-02-03 05:19:40,58
783519,2015-03-09 19:49:05,63
761017,2015-06-10 15:06:05,53
460872,2015-05-18 02:13:38,56
237907,2015-08-16 02:25:19,30
384639,2015-02-05 14:56:09,32
350873,2015-08-24 20:10:04,41
716566,2015-04-21 12:08:11,55
419180,2015-09-02 11:55:34,44
72738,2015-08-09 11:11:35,40
437674,2015-04-11 04:48:37,40
146924,2015-08-07 07:11:07,54
853862,2015-09-11 13:47:39,49
182455,2015-06-16 09:45:44,56
94144,2015-09-05 06:15:57,33
103201,2015-04-19 08:07:50,69
785713,2015-04-02 21:34:36,58
341098,2015-08-17 15:21:13,49
935625,2015-05-07 17:35:19,60
558859,2015-02-19 09:05:36,30
389344,2015-02-05 23:35:28,49
870034,2015-04-14 04:20:59,40
360647,2015-05-26 13:17:57,58
847229,2015-03-15 07:09:56,78
743334,2015-08-21 22:00:31,63
856898,2015-04-29 10:41:14,37
665522,2015-09-01 19:06:08,38
294249,2015-06-09 04:02:54,40
701533,2015-04-10 23:33:09,43
193275,2015-06-24 23:46:37,52
707134,2015-03-03 12:55:33,62
127760,2015-01-13 03:37:10,36
615709,2015-04-06 03:02:07,45
396524,2015-02-06 14:34:01,70
439487,2015-02-09 19:24:36,73
897792,2015-04-17 04:51:32,50
461293,2015-09-11 11:42:45,43
80627,2015-08-08 20:49:21,35
396524,2015-04-07 06:13:58,63
635118,2015-04-20 17:00:05,30
87973,2015-08-08 01:10:49,48
665016,2015-07-17 15:21:07,44
393267,2015-04-29 00:06:25,55
361177,2015-06-02 02:04:57,43
854532,2015-03-16 05:57:46,41
848817,2015-08-01 01:58:44,57
341098,2015-02-01 17:52:01,37
816341,2015-05-21 06:54:32,54
325083,2015-07-20 08:09:06,36
807404,2015-03-11 19:15:41,38
930325,2015-06-02 13:20:10,66
121,2015-08-10 02:56:16,43
396757,2015-07-17 02:29:53,52
977531,2015-09-27 19:16:23,51
