"user_id","date","transaction_amount"
15895,"2015-04-01",66
271,"2015-04-01",55
4677,"2015-04-01",73
16552,"2015-04-01",47
5151,"2015-04-01",53
6763,"2015-04-01",52
4576,"2015-04-01",62
14026,"2015-04-01",55
3919,"2015-04-01",47
1499,"2015-04-01",46
8529,"2015-04-01",87
12942,"2015-04-01",89
489,"2015-04-01",28
6621,"2015-04-01",38
15855,"2015-04-01",46
14581,"2015-04-01",90
2486,"2015-04-01",96
19094,"2015-04-01",78
18120,"2015-04-01",98
1883,"2015-04-01",32
14410,"2015-04-01",80
3029,"2015-04-01",46
383,"2015-04-01",23
5693,"2015-04-01",95
2721,"2015-04-01",41
13316,"2015-04-01",61
17224,"2015-04-01",59
6949,"2015-04-01",64
7435,"2015-04-01",67
18174,"2015-04-01",84
13618,"2015-04-01",96
11669,"2015-04-01",49
462,"2015-04-01",27
19478,"2015-04-01",96
19270,"2015-04-01",36
18202,"2015-04-01",58
8574,"2015-04-01",10
3499,"2015-04-01",44
13755,"2015-04-01",47
7782,"2015-04-01",86
3295,"2015-04-01",38
3808,"2015-04-01",24
3370,"2015-04-01",124
15754,"2015-04-01",54
10868,"2015-04-01",81
13721,"2015-04-01",42
19016,"2015-04-01",80
2848,"2015-04-01",49
9865,"2015-04-01",90
952,"2015-04-01",46
4773,"2015-04-01",69
14608,"2015-04-01",65
14389,"2015-04-01",46
1361,"2015-04-01",66
13590,"2015-04-01",84
9909,"2015-04-01",31
14278,"2015-04-01",72
1875,"2015-04-01",63
11336,"2015-04-01",39
2828,"2015-04-01",60
9579,"2015-04-01",56
2626,"2015-04-01",83
18477,"2015-04-01",26
18520,"2015-04-01",26
4939,"2015-04-01",51
2803,"2015-04-01",86
1926,"2015-04-01",40
8242,"2015-04-01",125
14785,"2015-04-01",34
11239,"2015-04-01",56
7007,"2015-04-01",30
2942,"2015-04-01",76
13418,"2015-04-01",91
7430,"2015-04-01",70
8531,"2015-04-01",22
903,"2015-04-01",56
980,"2015-04-01",50
1309,"2015-04-01",37
10055,"2015-04-01",65
2291,"2015-04-01",78
12548,"2015-04-01",48
18799,"2015-04-01",68
8109,"2015-04-01",85
4269,"2015-04-01",56
6220,"2015-04-01",83
9797,"2015-04-01",84
19007,"2015-04-01",118
2307,"2015-04-01",85
2118,"2015-04-01",40
5267,"2015-04-01",103
11038,"2015-04-01",62
696,"2015-04-01",57
9263,"2015-04-01",40
12566,"2015-04-01",58
8344,"2015-04-01",44
11919,"2015-04-01",98
11162,"2015-04-01",95
3128,"2015-04-01",116
4948,"2015-04-01",46
12073,"2015-04-01",43
459,"2015-04-01",104
17382,"2015-04-01",104
5936,"2015-04-01",40
4925,"2015-04-01",72
2017,"2015-04-01",93
15656,"2015-04-01",63
12884,"2015-04-01",33
854,"2015-04-01",86
3967,"2015-04-01",87
16848,"2015-04-01",27
8707,"2015-04-01",78
7004,"2015-04-01",58
2419,"2015-04-01",74
7654,"2015-04-01",97
11970,"2015-04-01",96
19395,"2015-04-01",85
10628,"2015-04-01",61
55,"2015-04-01",103
17874,"2015-04-01",38
1326,"2015-04-01",73
13969,"2015-04-01",34
15991,"2015-04-01",30
17208,"2015-04-01",62
17681,"2015-04-01",47
870,"2015-04-01",72
747,"2015-04-01",72
616,"2015-04-01",73
1204,"2015-04-01",82
2856,"2015-04-01",25
18625,"2015-04-01",62
8993,"2015-04-01",63
6384,"2015-04-01",44
1931,"2015-04-01",36
15603,"2015-04-01",50
10001,"2015-04-01",92
10884,"2015-04-01",56
6292,"2015-04-01",83
6286,"2015-04-01",87
12773,"2015-04-01",29
17435,"2015-04-01",110
5014,"2015-04-01",40
11133,"2015-04-01",17
7054,"2015-04-01",41
15798,"2015-04-01",61
16558,"2015-04-01",122
14575,"2015-04-01",53
19641,"2015-04-01",38
19563,"2015-04-01",48
12664,"2015-04-01",69
4735,"2015-04-01",101
19740,"2015-04-01",57
713,"2015-04-01",14
17543,"2015-04-01",107
13888,"2015-04-01",53
14888,"2015-04-01",29
9680,"2015-04-01",65
7428,"2015-04-01",29
3437,"2015-04-01",125
9990,"2015-04-01",59
16117,"2015-04-01",91
545,"2015-04-01",69
14859,"2015-04-01",94
17001,"2015-04-01",67
5095,"2015-04-01",63
4664,"2015-04-01",35
19135,"2015-04-01",16
5827,"2015-04-01",71
382,"2015-04-01",66
15048,"2015-04-01",94
9677,"2015-04-01",113
10510,"2015-04-01",98
8268,"2015-04-01",79
12905,"2015-04-01",39
