"user_id","date","transaction_amount"
13399,"2015-03-01",18
11934,"2015-03-01",63
3542,"2015-03-01",14
14479,"2015-03-01",21
19580,"2015-03-01",122
4224,"2015-03-01",74
1375,"2015-03-01",53
15006,"2015-03-01",23
19040,"2015-03-01",96
18472,"2015-03-01",54
14195,"2015-03-01",51
10349,"2015-03-01",45
17113,"2015-03-01",40
15985,"2015-03-01",26
2450,"2015-03-01",51
15943,"2015-03-01",15
19767,"2015-03-01",72
7458,"2015-03-01",101
9257,"2015-03-01",48
5,"2015-03-01",45
12917,"2015-03-01",78
8510,"2015-03-01",47
23,"2015-03-01",19
11975,"2015-03-01",33
19770,"2015-03-01",90
9838,"2015-03-01",64
1949,"2015-03-01",36
10462,"2015-03-01",69
7538,"2015-03-01",43
1559,"2015-03-01",57
14026,"2015-03-01",63
915,"2015-03-01",67
11218,"2015-03-01",87
4728,"2015-03-01",70
7861,"2015-03-01",56
4824,"2015-03-01",50
13828,"2015-03-01",16
2993,"2015-03-01",46
5903,"2015-03-01",35
6825,"2015-03-01",11
5537,"2015-03-01",75
19196,"2015-03-01",16
13109,"2015-03-01",32
12005,"2015-03-01",81
487,"2015-03-01",67
13691,"2015-03-01",64
19186,"2015-03-01",47
603,"2015-03-01",74
19567,"2015-03-01",101
16545,"2015-03-01",68
2272,"2015-03-01",115
9375,"2015-03-01",72
15760,"2015-03-01",52
2136,"2015-03-01",77
5932,"2015-03-01",21
9596,"2015-03-01",72
18858,"2015-03-01",39
8603,"2015-03-01",61
4074,"2015-03-01",44
6160,"2015-03-01",47
10383,"2015-03-01",70
14430,"2015-03-01",56
12468,"2015-03-01",53
14108,"2015-03-01",41
19799,"2015-03-01",20
4142,"2015-03-01",29
16708,"2015-03-01",45
9283,"2015-03-01",118
14881,"2015-03-01",23
3134,"2015-03-01",116
6545,"2015-03-01",53
12898,"2015-03-01",52
17620,"2015-03-01",69
1556,"2015-03-01",83
16562,"2015-03-01",85
2551,"2015-03-01",18
11174,"2015-03-01",64
15790,"2015-03-01",27
7686,"2015-03-01",66
17887,"2015-03-01",24
9071,"2015-03-01",57
4780,"2015-03-01",57
9072,"2015-03-01",79
10459,"2015-03-01",31
17871,"2015-03-01",90
4502,"2015-03-01",47
8135,"2015-03-01",104
2063,"2015-03-01",66
10997,"2015-03-01",39
5580,"2015-03-01",57
11850,"2015-03-01",60
9941,"2015-03-01",23
19051,"2015-03-01",46
3507,"2015-03-01",38
6483,"2015-03-01",22
9213,"2015-03-01",54
2773,"2015-03-01",23
12602,"2015-03-01",64
1817,"2015-03-01",57
8597,"2015-03-01",65
5499,"2015-03-01",75
11225,"2015-03-01",34
18683,"2015-03-01",57
14532,"2015-03-01",67
13779,"2015-03-01",53
11065,"2015-03-01",51
17949,"2015-03-01",10
10976,"2015-03-01",60
10769,"2015-03-01",54
1607,"2015-03-01",64
2308,"2015-03-01",56
10026,"2015-03-01",43
7862,"2015-03-01",31
17299,"2015-03-01",24
18434,"2015-03-01",51
12697,"2015-03-01",35
396,"2015-03-01",27
9545,"2015-03-01",65
16668,"2015-03-01",54
178,"2015-03-01",45
11970,"2015-03-01",53
9470,"2015-03-01",37
1784,"2015-03-01",59
15336,"2015-03-01",45
8462,"2015-03-01",49
8537,"2015-03-01",28
6351,"2015-03-01",94
10646,"2015-03-01",87
10137,"2015-03-01",33
9583,"2015-03-01",47
4071,"2015-03-01",65
12767,"2015-03-01",101
8141,"2015-03-01",113
4139,"2015-03-01",41
4402,"2015-03-01",88
2824,"2015-03-01",48
2641,"2015-03-01",109
15514,"2015-03-01",46
4608,"2015-03-01",58
9695,"2015-03-01",70
7870,"2015-03-01",30
6096,"2015-03-01",79
4717,"2015-03-01",52
4813,"2015-03-01",65
11627,"2015-03-01",46
5243,"2015-03-01",67
10294,"2015-03-01",70
19721,"2015-03-01",46
1868,"2015-03-01",60
4533,"2015-03-01",14
15228,"2015-03-01",16
2445,"2015-03-01",11
729,"2015-03-01",79
10239,"2015-03-01",109
7711,"2015-03-01",20
16043,"2015-03-01",32
9155,"2015-03-01",53
13590,"2015-03-01",40
4996,"2015-03-01",28
7477,"2015-03-01",77
2188,"2015-03-01",59
16300,"2015-03-01",43
8352,"2015-03-01",25
15197,"2015-03-01",78
6658,"2015-03-01",27
14649,"2015-03-01",30
11955,"2015-03-01",42
57,"2015-03-01",51
14080,"2015-03-01",26
15797,"2015-03-01",52
10829,"2015-03-01",80
15502,"2015-03-01",43
17792,"2015-03-01",56
6853,"2015-03-01",99
18302,"2015-03-01",54
18800,"2015-03-01",65
19741,"2015-03-01",93
6713,"2015-03-01",12
2626,"2015-03-01",36
19348,"2015-03-01",59
11253,"2015-03-01",18
1229,"2015-03-01",40
4314,"2015-03-01",52
13043,"2015-03-01",39
4929,"2015-03-01",89
13548,"2015-03-01",57
4863,"2015-03-01",53
2002,"2015-03-01",86
11761,"2015-03-01",81
15364,"2015-03-01",21
13975,"2015-03-01",35
11970,"2015-03-01",52
18509,"2015-03-01",66
5945,"2015-03-01",49
15110,"2015-03-01",82
2247,"2015-03-01",79
3902,"2015-03-01",30
4060,"2015-03-01",96
16161,"2015-03-01",25
3979,"2015-03-01",40
11504,"2015-03-01",89
9096,"2015-03-01",38
16968,"2015-03-01",65
12790,"2015-03-01",79
13524,"2015-03-01",45
13581,"2015-03-01",18
9896,"2015-03-01",21
8097,"2015-03-01",97
11344,"2015-03-01",51
2871,"2015-03-01",41
13672,"2015-03-01",59
19546,"2015-03-01",126
660,"2015-03-01",88
4224,"2015-03-01",63
11681,"2015-03-01",36
13855,"2015-03-01",84
17210,"2015-03-01",72
12037,"2015-03-01",56
4822,"2015-03-01",108
16995,"2015-03-01",19
9361,"2015-03-01",72
9138,"2015-03-01",72
3169,"2015-03-01",52
5475,"2015-03-01",76
15037,"2015-03-01",10
10491,"2015-03-01",80
17221,"2015-03-01",93
17587,"2015-03-01",67
2556,"2015-03-01",32
16862,"2015-03-01",80
2490,"2015-03-01",93
16109,"2015-03-01",28
2095,"2015-03-01",101
15542,"2015-03-01",59
11557,"2015-03-01",20
4887,"2015-03-01",42
1129,"2015-03-01",91
15587,"2015-03-01",24
12469,"2015-03-01",28
12293,"2015-03-01",50
5288,"2015-03-01",37
8189,"2015-03-01",73
10668,"2015-03-01",64
10864,"2015-03-01",29
11339,"2015-03-01",88
18581,"2015-03-01",24
9600,"2015-03-01",48
6178,"2015-03-01",67
13837,"2015-03-01",107
14314,"2015-03-01",106
11395,"2015-03-01",43
1938,"2015-03-01",39
19030,"2015-03-01",23
3085,"2015-03-01",43
4265,"2015-03-01",36
467,"2015-03-01",25
