"user_id","page"
128,"page_5_mobile"
1324,"page_2_mobile"
1343,"page_6_mobile"
930,"page_3_mobile"
1008,"page_6_mobile"
87,"page_1_mobile"
1729,"page_3_mobile"
1184,"page_5_mobile"
1961,"page_1_mobile"
736,"page_3_mobile"
1871,"page_2_mobile"
976,"page_1_mobile"
1662,"page_7_mobile"
748,"page_8_mobile"
1410,"page_1_mobile"
429,"page_5_mobile"
1445,"page_6_mobile"
293,"page_7_mobile"
1102,"page_1_mobile"
306,"page_4_mobile"
1793,"page_3_mobile"
892,"page_5_mobile"
1337,"page_3_mobile"
238,"page_5_mobile"
277,"page_2_mobile"
155,"page_1_mobile"
690,"page_2_mobile"
1468,"page_6_mobile"
964,"page_7_mobile"
778,"page_5_mobile"
785,"page_4_mobile"
607,"page_8_mobile"
629,"page_1_mobile"
1239,"page_2_mobile"
35,"page_8_mobile"
1402,"page_7_mobile"
971,"page_5_mobile"
863,"page_8_mobile"
229,"page_4_mobile"
876,"page_4_mobile"
209,"page_3_mobile"
1264,"page_1_mobile"
1176,"page_5_mobile"
1437,"page_1_mobile"
511,"page_3_mobile"
490,"page_3_mobile"
472,"page_4_mobile"
1241,"page_1_mobile"
1219,"page_6_mobile"
1943,"page_4_mobile"
857,"page_7_mobile"
898,"page_3_mobile"
36,"page_7_mobile"
1258,"page_3_mobile"
1724,"page_6_mobile"
653,"page_4_mobile"
1622,"page_2_mobile"
1271,"page_3_mobile"
1173,"page_8_mobile"
19,"page_8_mobile"
44,"page_2_mobile"
656,"page_7_mobile"
542,"page_2_mobile"
733,"page_8_mobile"
1341,"page_3_mobile"
301,"page_8_mobile"
1587,"page_8_mobile"
719,"page_7_mobile"
404,"page_8_mobile"
1659,"page_8_mobile"
225,"page_3_mobile"
119,"page_6_mobile"
1154,"page_5_mobile"
1834,"page_7_mobile"
1551,"page_4_mobile"
1629,"page_6_mobile"
398,"page_3_mobile"
477,"page_4_mobile"
1075,"page_7_mobile"
590,"page_4_mobile"
1777,"page_4_mobile"
767,"page_1_mobile"
115,"page_7_mobile"
368,"page_5_mobile"
21,"page_6_mobile"
1113,"page_4_mobile"
846,"page_6_mobile"
1846,"page_6_mobile"
1261,"page_3_mobile"
957,"page_6_mobile"
383,"page_6_mobile"
418,"page_5_mobile"
634,"page_7_mobile"
1984,"page_2_mobile"
1498,"page_8_mobile"
1820,"page_1_mobile"
1645,"page_1_mobile"
971,"page_6_mobile"
683,"page_2_mobile"
1280,"page_6_mobile"
1972,"page_2_mobile"
1255,"page_6_mobile"
1421,"page_8_mobile"
1733,"page_8_mobile"
813,"page_5_mobile"
84,"page_6_mobile"
768,"page_6_mobile"
1833,"page_7_mobile"
1163,"page_3_mobile"
871,"page_3_mobile"
1980,"page_2_mobile"
492,"page_2_mobile"
1141,"page_1_mobile"
357,"page_4_mobile"
939,"page_7_mobile"
161,"page_5_mobile"
106,"page_2_mobile"
598,"page_2_mobile"
446,"page_5_mobile"
1283,"page_7_mobile"
972,"page_8_mobile"
1299,"page_2_mobile"
455,"page_4_mobile"
758,"page_2_mobile"
209,"page_6_mobile"
1616,"page_3_mobile"
509,"page_5_mobile"
886,"page_4_mobile"
1665,"page_8_mobile"
480,"page_7_mobile"
1303,"page_7_mobile"
1577,"page_1_mobile"
257,"page_8_mobile"
1006,"page_3_mobile"
109,"page_6_mobile"
1419,"page_5_mobile"
50,"page_5_mobile"
939,"page_4_mobile"
1090,"page_3_mobile"
52,"page_8_mobile"
232,"page_4_mobile"
605,"page_5_mobile"
1452,"page_4_mobile"
444,"page_8_mobile"
389,"page_1_mobile"
1705,"page_2_mobile"
638,"page_4_mobile"
1214,"page_7_mobile"
782,"page_7_mobile"
1199,"page_3_mobile"
1984,"page_5_mobile"
1805,"page_5_mobile"
588,"page_3_mobile"
440,"page_1_mobile"
339,"page_5_mobile"
275,"page_6_mobile"
685,"page_1_mobile"
1460,"page_6_mobile"
501,"page_1_mobile"
1999,"page_1_mobile"
201,"page_2_mobile"
1894,"page_7_mobile"
1447,"page_4_mobile"
994,"page_3_mobile"
846,"page_6_mobile"
363,"page_7_mobile"
273,"page_5_mobile"
388,"page_8_mobile"
659,"page_1_mobile"
534,"page_2_mobile"
57,"page_1_mobile"
214,"page_3_mobile"
1797,"page_8_mobile"
1366,"page_4_mobile"
316,"page_7_mobile"
885,"page_3_mobile"
1518,"page_4_mobile"
1557,"page_8_mobile"
47,"page_7_mobile"
1219,"page_6_mobile"
1872,"page_3_mobile"
584,"page_6_mobile"
834,"page_1_mobile"
1233,"page_2_mobile"
56,"page_7_mobile"
290,"page_2_mobile"
1755,"page_4_mobile"
188,"page_5_mobile"
586,"page_4_mobile"
1512,"page_8_mobile"
1895,"page_2_mobile"
675,"page_7_mobile"
1508,"page_6_mobile"
409,"page_2_mobile"
1483,"page_3_mobile"
903,"page_2_mobile"
1877,"page_3_mobile"
286,"page_6_mobile"
1179,"page_4_mobile"
1174,"page_2_mobile"
229,"page_2_mobile"
554,"page_3_mobile"
149,"page_1_mobile"
722,"page_5_mobile"
414,"page_5_mobile"
1871,"page_7_mobile"
1225,"page_7_mobile"
487,"page_5_mobile"
1579,"page_5_mobile"
397,"page_2_mobile"
1061,"page_4_mobile"
1757,"page_2_mobile"
1885,"page_7_mobile"
1993,"page_1_mobile"
757,"page_7_mobile"
767,"page_6_mobile"
1748,"page_6_mobile"
511,"page_6_mobile"
1318,"page_7_mobile"
1321,"page_4_mobile"
1815,"page_2_mobile"
1761,"page_1_mobile"
307,"page_4_mobile"
1333,"page_4_mobile"
418,"page_3_mobile"
1175,"page_3_mobile"
463,"page_1_mobile"
1824,"page_7_mobile"
1687,"page_8_mobile"
154,"page_5_mobile"
940,"page_2_mobile"
253,"page_4_mobile"
1560,"page_2_mobile"
1765,"page_2_mobile"
989,"page_2_mobile"
1450,"page_8_mobile"
1503,"page_4_mobile"
478,"page_7_mobile"
723,"page_3_mobile"
49,"page_2_mobile"
1007,"page_5_mobile"
1146,"page_4_mobile"
1755,"page_4_mobile"
